upstream_path	commit	section_or_step	status	original_dependency	local_root	local_path	local_treatment	reason	reconsideration_trigger	dogfooding_evidence
pstack/skills/poteto-mode/playbooks/visual-parity.md	fadd23794c0075468eb8964b0fd93e06e09486ad	entire playbook	host substitution	Cursor Task and configured models	skills/ds-mode	skills/ds-mode/playbooks/visual-parity.md	Preserved methodology; replaced host dispatch, model, checklist, Git, or delivery instructions where required; cross-skill calls link directly to entrypoints; bounded lead-controlled iterations run until the diff is zero, as upstream's /loop did; Opening a PR ends the playbook as upstream	Pi lead with pi-herdr-agents workers and explicit-only skill discovery	new dogfooding evidence	Cited issue-202 remediation file was never committed; unverifiable
pstack/skills/poteto-mode/playbooks/authoring-a-skill.md	fadd23794c0075468eb8964b0fd93e06e09486ad	entire playbook	host substitution	Cursor Task and configured models	skills/ds-mode	skills/ds-mode/playbooks/authoring-a-skill.md	Preserved methodology; replaced host dispatch, model, checklist, Git, or delivery instructions where required; cross-skill calls link directly to entrypoints; Opening a PR ends the playbook as upstream	Pi lead with pi-herdr-agents workers and explicit-only skill discovery	new dogfooding evidence	Cited issue-202 remediation file was never committed; unverifiable
pstack/skills/poteto-mode/playbooks/eval.md	fadd23794c0075468eb8964b0fd93e06e09486ad	entire playbook	host substitution	Cursor Task and configured models	skills/ds-mode	skills/ds-mode/playbooks/eval.md	Preserved blinding and transcript proof; generic workers; exact native transcripts resolved through workers.md; actual review-family disclosure	Model-neutral delegation without assuming one host transcript format	new dogfooding evidence	Cited issue-202 remediation file was never committed; unverifiable
pstack/skills/poteto-mode/playbooks/autonomous-run.md	fadd23794c0075468eb8964b0fd93e06e09486ad	entire playbook	host substitution	Cursor /loop command, watcher subagents, and AskQuestion	skills/ds-mode	skills/ds-mode/playbooks/autonomous-run.md	Upstream text restored except the wake mechanism: bounded lead-controlled iterations replace Cursor /loop watchers and heartbeats; AskQuestion becomes stopping to ask; team chat messages are surfaced; out-of-band fixes use their own commit when the run opens no PRs; skill names link to entrypoints	Polling and watchers are out of scope; /loop is a Cursor built-in	new dogfooding evidence	Cited issue-202 remediation file was never committed; unverifiable
pstack/skills/poteto-mode/playbooks/multi-phase-plan.md	fadd23794c0075468eb8964b0fd93e06e09486ad	entire playbook	host substitution	Cursor Task and configured models	skills/ds-mode	skills/ds-mode/playbooks/multi-phase-plan.md	Upstream template restored: verification rule, unit/live/perf blocks, control-skill paragraph, verdict lanes with gates and audit lanes, boot recipe, review gate, deslop and no-comments boxes, Appendix D, writing rules; execution runs Autonomous run over build playbooks with Shipping for landing; at least three live lanes, set per PR, as fresh Review workers sharing one head worktree; status messages at PR boundaries replace the audit tick; /goal, cloud VMs, Graphite, and autopilot or orchestrate execution dropped; the swarm verdict is each PR's independent verdict and replaces Opening a PR's verdict step and is posted on the PR with review media; lanes share a lead-built head worktree, and the lead builds a second trunk worktree and server for the regression lane, use their own control sessions and test data, and CLI lanes run their own processes; stand-down interrupts owners by canonical target; the agent-store default path and the per-tick trunk re-reads dropped; operator pronoun neutral; Origin forge support dropped, gh only	Autopilot, Orchestrate, cloud agents, Graphite, and polling are out of scope; ten lanes were sized for cloud VMs, and the plan runs locally (user decision 2026-09-24)	new dogfooding evidence	none yet
pstack/skills/poteto-mode/playbooks/session-pickup.md	fadd23794c0075468eb8964b0fd93e06e09486ad	entire playbook	host substitution	Cursor Task and configured models	skills/ds-mode	skills/ds-mode/playbooks/session-pickup.md	Upstream text restored; Pi session files and worker piSessionPath replace Cursor transcripts; cloud-agent URLs dropped; interrupted worker work continues in a fresh worker with consolidated scope; a resume note replaces the cloud-agent URL trigger	Host transcript locations differ; cloud agents are out of scope; upstream's rule against interrupt-chained resumes applies to Pi workers	new dogfooding evidence	none yet
pstack/skills/poteto-mode/playbooks/pause-safely.md	fadd23794c0075468eb8964b0fd93e06e09486ad	entire playbook	host substitution	Cursor Task and configured models	skills/ds-mode	skills/ds-mode/playbooks/pause-safely.md	Upstream text restored; restart Pi replaces restart Cursor; active workers are interrupted by canonical target and recorded in the resume note; the wip commit yields to repository instructions that forbid commits	Pi workers need exact targets to resume; the approved plan lets repository instructions govern commits	new dogfooding evidence	none yet
pstack/skills/poteto-mode/playbooks/worktree-cleanup.md	fadd23794c0075468eb8964b0fd93e06e09486ad	entire playbook	host substitution	Cursor transcripts, pinned chats, sidebar, and Cursor caches	skills/ds-mode	skills/ds-mode/playbooks/worktree-cleanup.md	Upstream text restored, including its Autonomy rule (clean, merged, and not-in-use proceeds; wip and in-use pause); untracked scratch also pauses and is named; Pi sessions, fresh Explore workers, and list_agents replace Cursor chats, subagents, pinned chats, and the sidebar; the Cursor application-support cache item dropped	Cursor transcripts and caches do not exist on this host; the user chose pstack's cleanup autonomy so worktrees are not forgotten, and untracked files stay protected from deletion (decisions in the approved plan and 2026-09-24)	new dogfooding evidence	none yet
pstack/skills/poteto-mode/playbooks/opening-a-pr.md	fadd23794c0075468eb8964b0fd93e06e09486ad	entire playbook	host substitution	Cursor Task and configured models	skills/ds-mode	skills/ds-mode/playbooks/opening-a-pr.md	Upstream trigger (end of every playbook), commit shaping, narrow-PR preference, deslop/no-comments timing, and the PR opener's interrogate/deslop/no-comments restored; user's PR body format (Why, Scope with blast radius, Issues, Validation, Squash commit message) replaces pstack's sections; proposals, explicit repairs, evidence reuse, ticket lookup, and read-back kept; current checkout when clean or dedicated, otherwise a worktree off base without asking that carries only this task's changes; stacked follow-ups use GitHub native stacks (base on the branch below, joined after Verify with gh stack link using PR numbers) instead of pstack's plain base-branch chains; local-only session override; commits on the default branch move to a topic branch before push; a dependent PR targets its base PR's branch; new commits on a branch with an open PR update that PR; a fresh Review worker posts each behavior-changing PR's verdict, with screenshots, plus a video for interaction changes, when the PR opens or gains commits; PRs that change no behavior skip it; no-comments runs only when the diff adds comment or lint-suppression lines; the title appends the ticket reference in parentheses, (#123) for GitHub issues and (ABC-123) for other trackers; Titles and commit messages covers every commit except Pause safely's wip commit again, as upstream's rule did when each Graphite commit became a PR, and each branch commit body gives the why in two or three lines; Origin forge support dropped, gh only; `scripts/check-commit-titles.sh` runs against the branch before every push, as SKILL.md requires for every push path	User decisions 2026-09-24 (PR default, keep own format); user-approved PR format (commit 3d70617); gh stack links the chain for review; approved checkout contract; independent verification moved from landing to PR creation because the user reviews and merges single PRs by hand (decision 2026-09-24); a diff that adds no comment or suppression lines gives Comment Sicko nothing to review (talisman-website #55 dogfood, 2026-09-24); GitHub native stacked PRs (public preview since 2026-07-30) link the base-branch chain that upstream builds by hand; titles use parentheses by user decision (2026-09-25) because copying repository history spread a bracket style from an old template; the port had narrowed titles to the PR and squash commit, so workers wrote unformatted commits; the body rule is a user decision (2026-09-25); the user dropped the ask-before-worktree rule (2026-09-25) to follow pstack's worktree freedom; a second commit-format miss made the rule a structural check (encode-lessons-in-structure)	new dogfooding evidence; gh stack leaves public preview or its CLI changes	ds-mode-sandbox PR #1 (2026-09-24): a bug-fix session opened a PR unprompted in the user's format after deslop and no-comments; growthapp PR #153 (2026-09-25): a brief that forbade commits and a Size rule without stacking produced one large PR from five ticketed units; growthapp issue #147 re-run (2026-09-25): workers wrote commit titles without type or scope; growthapp PR #155 follow-up (2026-09-25): a PR Check worker read SKILL.md's pointer but not Opening a PR, and pushed two commits without type, scope or body
pstack/skills/poteto-mode/playbooks/opening-a-pr.md	fadd23794c0075468eb8964b0fd93e06e09486ad	Titles commit check	host substitution	prose-only commit title rule	skills/ds-mode	skills/ds-mode/scripts/check-commit-titles.sh	A pre-push script checks each non-merge branch commit for a type(scope): outcome title (no trailing period before an optional ticket suffix) and a why body outside Git-parsed trailers; Pause safely's wip: commits are exempt; an unknown base fails the check	Encode-lessons-in-structure after a second commit-format miss: workers commit on paths such as PR Check and Triage that never open Opening a PR	a repository commit hook or host-level check replaces it	growthapp PR #155 follow-up (2026-09-25): a PR Check worker pushed two commits without type, scope or body; growthapp issue #147 re-run (2026-09-25): workers wrote commit titles without type or scope
pstack/skills/poteto-mode/playbooks/babysit.md	fadd23794c0075468eb8964b0fd93e06e09486ad	watcher, drive and background modes, stack topology, and merge steps	inactive	watch-pr polling and automatic response	skills/ds-mode	none	Dropped; the check-mode rules live on in playbooks/pr-check-and-triage.md	Polling and automatic PR operation are outside the initial workflow	explicit need for bounded automation	none yet
pstack/skills/poteto-mode/playbooks/shipping.md	fadd23794c0075468eb8964b0fd93e06e09486ad	entire playbook	host substitution	Graphite merge-when-ready and queue landing	skills/ds-mode	skills/ds-mode/playbooks/shipping.md	Merge half only: confirms the verdict Opening a PR posted, verifying on the real surface when one is missing and accepting a diff-confirmed no-behavior-change PR; patch-id re-check after review fixes or rebases; contiguous verified run; interaction changes review-gated; 'ship it', 'land', and 'merge' are merge requests and 'is this safe to merge' only reports; the repository's merge method, asked when several are allowed; never GitHub auto-merge; Graphite merge-when-ready, cloud agents, and the drain watcher dropped; a stack PR that did not retarget or still carries squashed parent commits stops for a user-approved rebase and a patch-id re-check; a stack joined with gh stack link merges its verified run with gh stack merge up to the ceiling PR, which retargets the rest; Origin forge support dropped, gh only	Graphite, cloud agents, and watchers are out of scope; the user reviews and merges single PRs by hand across repositories with different merge methods, so verdicts are due when the PR opens, not at landing (decisions 2026-09-24)	a merge queue replaces manual merges	ds-mode-sandbox PR #1 (2026-09-24): fresh Astra reviewer returned PASS+NOTES, posted verdict, screenshots, and a 32-second recording, then stopped at the review gate without merging; ds-mode-sandbox (2026-09-25): gh stack merge of the bottom PR squash-merged it and retargeted the PR above to main
pstack/skills/poteto-mode/playbooks/orchestrate.md	fadd23794c0075468eb8964b0fd93e06e09486ad	entire playbook	inactive	cloud fleet, Graphite, polling, and merge ownership	skills/ds-mode	none	Kept only in upstream/pstack	cloud fleet, Graphite, polling, and merge ownership	workflow gains the named capability	none yet
pstack/skills/poteto-mode/playbooks/autopilot-full.md	fadd23794c0075468eb8964b0fd93e06e09486ad	entire playbook	inactive	cloud agents, polling, and automatic merging	skills/ds-mode	none	Kept only in upstream/pstack	cloud agents, polling, and automatic merging	workflow gains the named capability	none yet
pstack/skills/poteto-mode/playbooks/autopilot-stack.md	fadd23794c0075468eb8964b0fd93e06e09486ad	entire playbook	inactive	cloud agents, Graphite stacks, and automatic loops	skills/ds-mode	none	Kept only in upstream/pstack	cloud agents, Graphite stacks, and automatic loops	workflow gains the named capability	none yet
pstack/skills/poteto-mode/references/bugbot-triage.md	fadd23794c0075468eb8964b0fd93e06e09486ad	Babysit and upstack references	host substitution	Babysit and Graphite	skills/ds-mode	skills/ds-mode/references/bugbot-triage.md	Routes to one-shot PR Check and Triage and gh base-branch inspection	GitHub-only PR operation	new dogfooding evidence	none yet
pstack/skills/poteto-mode/scripts/check-plan.mjs	fadd23794c0075468eb8964b0fd93e06e09486ad	entire script	host substitution	cloud, Graphite, autopilot plan skeleton	skills/ds-mode	skills/ds-mode/scripts/check-plan.mjs	Upstream checker restored; the live block needs at least three contiguous lanes at the PR head instead of ten on a named model; Arm-the-program markers check the explicit go, the zero-writes stand-down, and status messages instead of /goal, trunk reads, and the 30-minute tick; the stated lane count must match the lane boxes	Lane count and execution cadence follow the local host; every other contract check is upstream's	new dogfooding evidence	none yet
pstack/skills/poteto-mode/scripts/worktree-audit.sh	fadd23794c0075468eb8964b0fd93e06e09486ad	entire script	host substitution	Cursor transcripts and scratch-file deletion	skills/ds-mode	skills/ds-mode/scripts/worktree-audit.sh	Upstream script restored (main worktree skipped, per-row error tolerance, wip/scratch split, remote and PR columns, buckets); scratch-only worktrees get a hold-scratch bucket; the remote default branch (origin/HEAD or gh) replaces origin/main; Pi sessions started in the worktree plus main-checkout and pi-herdr-agents worker sessions that name its path replace the Cursor transcript scan	Repositories use different default branches; Pi stores sessions differently from Cursor; untracked files are protected from deletion	new dogfooding evidence	Scratch repo 2026-09-24: main skipped, missing worktree listed with exit 0, wip and scratch held, merged safe, a worktree named in a worker session flagged verify-recent-chat
pstack/skills/poteto-mode/scripts/bootstrap.ts	fadd23794c0075468eb8964b0fd93e06e09486ad	entire path	inactive	Bun setup and Cursor package marker	skills/ds-mode	none	Kept only in upstream/pstack	Bun setup and Cursor package marker	active workflow adopts this capability	none yet
pstack/skills/poteto-mode/scripts/bun.lock	fadd23794c0075468eb8964b0fd93e06e09486ad	entire path	inactive	Bun package	skills/ds-mode	none	Kept only in upstream/pstack	Bun package	active workflow adopts this capability	none yet
pstack/skills/poteto-mode/scripts/package.json	fadd23794c0075468eb8964b0fd93e06e09486ad	entire path	inactive	Bun orchestration targets	skills/ds-mode	none	Kept only in upstream/pstack	Bun orchestration targets	active workflow adopts this capability	none yet
pstack/skills/poteto-mode/scripts/orch/	fadd23794c0075468eb8964b0fd93e06e09486ad	entire path	inactive	Orchestrate and Graphite	skills/ds-mode	none	Kept only in upstream/pstack	Orchestrate and Graphite	active workflow adopts this capability	none yet
pstack/skills/poteto-mode/scripts/watch-pr/	fadd23794c0075468eb8964b0fd93e06e09486ad	entire path	inactive	polling and automatic PR operation	skills/ds-mode	none	Kept only in upstream/pstack	polling and automatic PR operation	active workflow adopts this capability	none yet
pstack/skills/architect/	fadd23794c0075468eb8964b0fd93e06e09486ad	dispatch, paths, models, or transcript sections	host substitution	Cursor Task, Cursor paths, configured models, or Cursor transcripts	skills/architect	skills/architect/SKILL.md	Fresh Judgment workers, local paths, and actual model-family disclosure; unaffected methodology retained; skill names link to entrypoints so Pi can reach explicit-only skills	Model-neutral roles with runtime details in worker references	new dogfooding evidence	none yet
pstack/skills/arena/	fadd23794c0075468eb8964b0fd93e06e09486ad	dispatch, paths, models, or transcript sections	host substitution	Cursor Task, Cursor paths, configured models, or Cursor transcripts	skills/arena	skills/arena/SKILL.md	Fresh workers, no-edit Judgment assignment, and actual model-family disclosure; unaffected methodology retained; skill names link to entrypoints so Pi can reach explicit-only skills	Model-neutral roles with runtime details in worker references	new dogfooding evidence	none yet
pstack/skills/create-verification-skill/	fadd23794c0075468eb8964b0fd93e06e09486ad	dispatch, paths, models, or transcript sections	host substitution	Cursor Task, Cursor paths, configured models, or Cursor transcripts	skills/create-verification-skill	skills/create-verification-skill/SKILL.md	Fresh pi-herdr-agents workers, local paths, and same-family disclosure; unaffected methodology retained	Pi lead with pi-herdr-agents workers	new dogfooding evidence	none yet
pstack/skills/figure-it-out/	fadd23794c0075468eb8964b0fd93e06e09486ad	dispatch, paths, models, or transcript sections	host substitution	Cursor Task, Cursor paths, configured models, or Cursor transcripts	skills/figure-it-out	skills/figure-it-out/SKILL.md	Fresh workers, local paths, and actual model-family disclosure; unaffected methodology retained; skill names link to entrypoints so Pi can reach explicit-only skills	Model-neutral roles with runtime details in worker references	new dogfooding evidence	none yet
pstack/skills/how/	fadd23794c0075468eb8964b0fd93e06e09486ad	dispatch, paths, models, or transcript sections	host substitution	Cursor Task, Cursor paths, configured models, or Cursor transcripts	skills/how	skills/how/SKILL.md	Fresh workers, local paths, actual model-family disclosure, and explicit-only invocation aligned with current pstack; unaffected methodology retained	Model-neutral roles with runtime details in worker references	new dogfooding evidence	Unit 4 transcript analysis found automatic skill reads and nested dispatch (issue-202 unit 4; the analysis was never committed)
pstack/skills/interrogate/	fadd23794c0075468eb8964b0fd93e06e09486ad	dispatch, paths, models, or transcript sections	host substitution	Cursor Task, Cursor paths, configured models, or Cursor transcripts	skills/interrogate	skills/interrogate/SKILL.md	Fresh reviewers, local paths, and actual model-family disclosure; unaffected methodology retained; the conflicting Judgment final-verdict line removed, so the lead judges as upstream	Model-neutral roles with runtime details in worker references	new dogfooding evidence	none yet
pstack/skills/maintain-verification-skill/	fadd23794c0075468eb8964b0fd93e06e09486ad	dispatch, paths, models, or transcript sections	host substitution	Cursor Task, Cursor paths, configured models, or Cursor transcripts	skills/maintain-verification-skill	skills/maintain-verification-skill/SKILL.md	Fresh Explore workers with no-edit assignments and local paths; upstream ship-or-stop PR rule restored	Model-neutral roles with runtime details in worker references	new dogfooding evidence	none yet
pstack/skills/no-comments/	fadd23794c0075468eb8964b0fd93e06e09486ad	dispatch, paths, models, or transcript sections	host substitution	Cursor Task, Cursor paths, configured models, or Cursor transcripts	skills/no-comments	skills/no-comments/SKILL.md	Comment Sicko runs as a fresh Review worker briefed with references/comment-sicko.md; its edit permission covers comments within the scope only, matching the agent's own contract; lead reviews its diff; skill names link to entrypoints so Pi can reach explicit-only skills; how, why, and architect link to entrypoints	Pi has no named agent types, so the brief carries the Comment Sicko definition	host gains a native Comment Sicko worker type	none yet
pstack/skills/reflect/	fadd23794c0075468eb8964b0fd93e06e09486ad	dispatch, paths, models, or transcript sections	host substitution	Cursor Task, Cursor paths, configured models, or Cursor transcripts	skills/reflect	skills/reflect/SKILL.md	Upstream text restored, including When to invoke, approval before skill edits, automatic backlog filing, and the summary; /reflect reads /skill:reflect; the lead reads $PI_SESSION_FILE; reviewers and synthesizer are fresh workers with normal tools, and the reviewer prompts forbid file writes, Judgment for the judgment and divergent lenses and a Review worker on gpt-6-sol for tooling so the lenses span both configured models; writing-for-agents replaces Cursor's create-skill for substantive edits (draft against its rules, then the repository validator) and description tuning (its context-pointer rules); skill names link to entrypoints	Pi exposes the session file and has no Task subagent types; create-skill is a Cursor built-in; ticket updates proceed without asking (decision 2026-09-24)	new dogfooding evidence	none yet
pstack/skills/show-me-your-work/	fadd23794c0075468eb8964b0fd93e06e09486ad	dispatch, paths, models, or transcript sections	host substitution	Cursor Task, Cursor paths, configured models, or Cursor transcripts	skills/show-me-your-work	skills/show-me-your-work/SKILL.md	Upstream text restored; the lead reads $PI_SESSION_FILE instead of Cursor transcripts; the cross-model reviewer is a fresh Judgment worker on another family when configured, otherwise the other configured model with a same-family label shown in Attention; skill names link to entrypoints; the reviewer runs on the configured model that did not do most of the work, overriding the Judgment profile's default	Pi exposes the session file; only one model family is configured	new dogfooding evidence	none yet
pstack/skills/swarm/	fadd23794c0075468eb8964b0fd93e06e09486ad	dispatch, paths, models, or transcript sections	host substitution	Cursor Task, Cursor paths, configured models, or Cursor transcripts	skills/swarm	skills/swarm/SKILL.md	Fresh workers, local paths, and actual model-family disclosure; unaffected methodology retained	Model-neutral roles with runtime details in worker references	new dogfooding evidence	none yet
pstack/skills/why/	fadd23794c0075468eb8964b0fd93e06e09486ad	dispatch, paths, models, or transcript sections	host substitution	Cursor Task, Cursor paths, configured models, or Cursor transcripts	skills/why	skills/why/SKILL.md	Generic lead and fresh workers, local paths, and explicit-only invocation aligned with current pstack; unaffected methodology retained	Model-neutral roles with runtime details in worker references	new dogfooding evidence	Unit 4 transcript analysis found automatic skill reads and nested dispatch (issue-202 unit 4; the analysis was never committed)
pstack/skills/tdd/SKILL.md	fadd23794c0075468eb8964b0fd93e06e09486ad	entire file	host substitution	Cursor disable-model-invocation frontmatter	skills/tdd	skills/tdd/SKILL.md	Body copied byte-for-byte; Cursor/Pi explicit-only frontmatter retained and mirrored in agents/openai.yaml for Codex	Active pstack dependency	new dogfooding evidence	none yet
pstack/skills/technical-writing/SKILL.md	fadd23794c0075468eb8964b0fd93e06e09486ad	frontmatter invocation policy	host substitution	Pinned pstack explicit-only invocation	skills/technical-writing	skills/technical-writing/SKILL.md	Pinned body retained; automatic invocation enabled by omitting the Cursor/Pi restriction	Writing and TypeScript guidance should apply without entering ds-mode	new dogfooding evidence	User-approved invocation correction on 2026-09-18
pstack/skills/unslop/SKILL.md	fadd23794c0075468eb8964b0fd93e06e09486ad	frontmatter invocation policy	host substitution	Pinned pstack automatic invocation	skills/unslop	skills/unslop/SKILL.md	Pinned body retained; automatic invocation enabled by omitting the Cursor/Pi restriction	Writing and TypeScript guidance should apply without entering ds-mode	new dogfooding evidence	User-approved invocation correction on 2026-09-18
cursor-team-kit/skills/control-ui/SKILL.md	fadd23794c0075468eb8964b0fd93e06e09486ad	entire file	verbatim	local runtime	skills/control-ui	skills/control-ui/SKILL.md	Pinned active copy; lineage marker is separate	Approved local control dependency	new dogfooding evidence	none yet
cursor-team-kit/skills/control-cli/SKILL.md	fadd23794c0075468eb8964b0fd93e06e09486ad	entire file	verbatim	local runtime	skills/control-cli	skills/control-cli/SKILL.md	Pinned active copy; lineage marker is separate	Approved local control dependency	new dogfooding evidence	none yet
cursor-team-kit/skills/deslop/SKILL.md	fadd23794c0075468eb8964b0fd93e06e09486ad	entire file	verbatim	local runtime	skills/deslop	skills/deslop/SKILL.md	Pinned active copy; lineage marker is separate	Approved local control dependency	new dogfooding evidence	none yet
pstack/skills/principle-attack-the-premise/SKILL.md	fadd23794c0075468eb8964b0fd93e06e09486ad	complete principle body	host substitution	Cursor disable-model-invocation frontmatter	skills/principle-attack-the-premise	skills/principle-attack-the-premise/SKILL.md	Body copied byte-for-byte; Cursor/Pi explicit-only frontmatter retained and mirrored in agents/openai.yaml for Codex	All 23 principles active	new dogfooding evidence	none yet
pstack/skills/principle-boundary-discipline/SKILL.md	fadd23794c0075468eb8964b0fd93e06e09486ad	complete principle body	host substitution	Cursor disable-model-invocation frontmatter	skills/principle-boundary-discipline	skills/principle-boundary-discipline/SKILL.md	Body copied byte-for-byte; Cursor/Pi explicit-only frontmatter retained and mirrored in agents/openai.yaml for Codex	All 23 principles active	new dogfooding evidence	none yet
pstack/skills/principle-build-the-lever/SKILL.md	fadd23794c0075468eb8964b0fd93e06e09486ad	complete principle body	host substitution	Cursor disable-model-invocation frontmatter	skills/principle-build-the-lever	skills/principle-build-the-lever/SKILL.md	Body copied byte-for-byte; Cursor/Pi explicit-only frontmatter retained and mirrored in agents/openai.yaml for Codex	All 23 principles active	new dogfooding evidence	none yet
pstack/skills/principle-encode-lessons-in-structure/SKILL.md	fadd23794c0075468eb8964b0fd93e06e09486ad	complete principle body	host substitution	Cursor disable-model-invocation frontmatter	skills/principle-encode-lessons-in-structure	skills/principle-encode-lessons-in-structure/SKILL.md	Body copied byte-for-byte; Cursor/Pi explicit-only frontmatter retained and mirrored in agents/openai.yaml for Codex	All 23 principles active	new dogfooding evidence	none yet
